Date,2y,Date,10y,Date,BankRate
02/08/2016,0.21,02/08/2016,0.815,02/08/2016,0.5
01/08/2016,0.164,01/08/2016,0.73,01/08/2016,0.5
29/07/2016,0.11,29/07/2016,0.685,29/07/2016,0.5
28/07/2016,0.123,28/07/2016,0.713,28/07/2016,0.5
27/07/2016,0.134,27/07/2016,0.738,27/07/2016,0.5
26/07/2016,0.168,26/07/2016,0.822,26/07/2016,0.5
25/07/2016,0.137,25/07/2016,0.81,25/07/2016,0.5
22/07/2016,0.131,22/07/2016,0.798,22/07/2016,0.5
21/07/2016,0.165,21/07/2016,0.834,21/07/2016,0.5
20/07/2016,0.179,20/07/2016,0.835,20/07/2016,0.5
19/07/2016,0.171,19/07/2016,0.801,19/07/2016,0.5
18/07/2016,0.17,18/07/2016,0.824,18/07/2016,0.5
15/07/2016,0.166,15/07/2016,0.834,15/07/2016,0.5
14/07/2016,0.141,14/07/2016,0.794,14/07/2016,0.5
13/07/2016,0.116,13/07/2016,0.745,13/07/2016,0.5
12/07/2016,0.186,12/07/2016,0.828,12/07/2016,0.5
11/07/2016,0.155,11/07/2016,0.758,11/07/2016,0.5
08/07/2016,0.123,08/07/2016,0.735,08/07/2016,0.5
07/07/2016,0.142,07/07/2016,0.781,07/07/2016,0.5
06/07/2016,0.134,06/07/2016,0.765,06/07/2016,0.5
05/07/2016,0.118,05/07/2016,0.771,05/07/2016,0.5
04/07/2016,0.144,04/07/2016,0.833,04/07/2016,0.5
01/07/2016,0.16,01/07/2016,0.863,01/07/2016,0.5
30/06/2016,0.099,30/06/2016,0.867,30/06/2016,0.5
29/06/2016,0.204,29/06/2016,0.949,29/06/2016,0.5
28/06/2016,0.191,28/06/2016,0.961,28/06/2016,0.5
27/06/2016,0.151,27/06/2016,0.934,27/06/2016,0.5
24/06/2016,0.273,24/06/2016,1.086,24/06/2016,0.5
23/06/2016,0.523,23/06/2016,1.373,23/06/2016,0.5
22/06/2016,0.488,22/06/2016,1.313,22/06/2016,0.5
21/06/2016,0.501,21/06/2016,1.287,21/06/2016,0.5
20/06/2016,0.466,20/06/2016,1.238,20/06/2016,0.5
17/06/2016,0.388,17/06/2016,1.144,17/06/2016,0.5
16/06/2016,0.344,16/06/2016,1.11,16/06/2016,0.5
15/06/2016,0.336,15/06/2016,1.12,15/06/2016,0.5
14/06/2016,0.356,14/06/2016,1.144,14/06/2016,0.5
13/06/2016,0.378,13/06/2016,1.209,13/06/2016,0.5
10/06/2016,0.394,10/06/2016,1.232,10/06/2016,0.5
09/06/2016,0.381,09/06/2016,1.243,09/06/2016,0.5
08/06/2016,0.379,08/06/2016,1.253,08/06/2016,0.5
07/06/2016,0.362,07/06/2016,1.267,07/06/2016,0.5
06/06/2016,0.337,06/06/2016,1.28,06/06/2016,0.5
03/06/2016,0.338,03/06/2016,1.276,03/06/2016,0.5
02/06/2016,0.377,02/06/2016,1.344,02/06/2016,0.5
01/06/2016,0.406,01/06/2016,1.373,01/06/2016,0.5
31/05/2016,0.432,31/05/2016,1.429,31/05/2016,0.5
30/05/2016,0.459,30/05/2016,1.436,30/05/2016,0.5
27/05/2016,0.459,27/05/2016,1.436,27/05/2016,0.5
26/05/2016,0.444,26/05/2016,1.415,26/05/2016,0.5
25/05/2016,0.478,25/05/2016,1.456,25/05/2016,0.5
24/05/2016,0.481,24/05/2016,1.472,24/05/2016,0.5
23/05/2016,0.445,23/05/2016,1.449,23/05/2016,0.5
20/05/2016,0.441,20/05/2016,1.452,20/05/2016,0.5
19/05/2016,0.435,19/05/2016,1.439,19/05/2016,0.5
18/05/2016,0.425,18/05/2016,1.438,18/05/2016,0.5
17/05/2016,0.378,17/05/2016,1.37,17/05/2016,0.5
16/05/2016,0.381,16/05/2016,1.395,16/05/2016,0.5
13/05/2016,0.373,13/05/2016,1.376,13/05/2016,0.5
12/05/2016,0.386,12/05/2016,1.404,12/05/2016,0.5
11/05/2016,0.375,11/05/2016,1.392,11/05/2016,0.5
