Security,GUKG10   Index                                                  ,
Start Date,30/12/1999 00:00,
End Date,02/08/2016 00:00,
Period,D,
,,
Date,PX_BID,PX_LAST
02/08/2016,0.808,0.808
01/08/2016,0.73,0.73
29/07/2016,0.685,0.685
28/07/2016,0.713,0.713
27/07/2016,0.738,0.738
26/07/2016,0.822,0.822
25/07/2016,0.81,0.81
22/07/2016,0.798,0.798
21/07/2016,0.834,0.834
20/07/2016,0.835,0.835
19/07/2016,0.801,0.801
18/07/2016,0.824,0.824
15/07/2016,0.834,0.834
14/07/2016,0.794,0.794
13/07/2016,0.745,0.745
12/07/2016,0.828,0.828
11/07/2016,0.758,0.758
08/07/2016,0.735,0.735
07/07/2016,0.781,0.781
06/07/2016,0.765,0.765
05/07/2016,0.771,0.771
04/07/2016,0.833,0.833
01/07/2016,0.863,0.863
30/06/2016,0.867,0.867
29/06/2016,0.949,0.949
28/06/2016,0.961,0.961
27/06/2016,0.934,0.934
24/06/2016,1.086,1.086
23/06/2016,1.373,1.373
22/06/2016,1.313,1.313
21/06/2016,1.287,1.287
20/06/2016,1.238,1.238
17/06/2016,1.144,1.144
16/06/2016,1.11,1.11
15/06/2016,1.12,1.12
14/06/2016,1.144,1.144
13/06/2016,1.209,1.209
10/06/2016,1.232,1.232
09/06/2016,1.243,1.243
08/06/2016,1.253,1.253
07/06/2016,1.267,1.267
06/06/2016,1.28,1.28
03/06/2016,1.276,1.276
02/06/2016,1.344,1.344
01/06/2016,1.373,1.373
31/05/2016,1.429,1.429
30/05/2016,1.436,1.436
27/05/2016,1.436,1.436
26/05/2016,1.415,1.415
25/05/2016,1.456,1.456
24/05/2016,1.472,1.472
23/05/2016,1.449,1.449
20/05/2016,1.452,1.452
19/05/2016,1.439,1.439
18/05/2016,1.438,1.438
17/05/2016,1.37,1.37
16/05/2016,1.395,1.395
13/05/2016,1.376,1.376
12/05/2016,1.404,1.404
11/05/2016,1.392,1.392
10/05/2016,1.404,1.404
09/05/2016,1.411,1.411
06/05/2016,1.418,1.418
05/05/2016,1.465,1.465
04/05/2016,1.526,1.526
03/05/2016,1.528,1.528
02/05/2016,1.596,1.596
29/04/2016,1.596,1.596
28/04/2016,1.608,1.608
27/04/2016,1.627,1.627
26/04/2016,1.66,1.66
25/04/2016,1.608,1.608
22/04/2016,1.6,1.6
21/04/2016,1.591,1.591
20/04/2016,1.482,1.482
19/04/2016,1.508,1.508
18/04/2016,1.478,1.478
15/04/2016,1.414,1.414
14/04/2016,1.45,1.45
13/04/2016,1.423,1.423
12/04/2016,1.442,1.442
11/04/2016,1.394,1.394
08/04/2016,1.363,1.363
07/04/2016,1.328,1.328
06/04/2016,1.381,1.381
05/04/2016,1.375,1.375
04/04/2016,1.429,1.429
01/04/2016,1.409,1.409
31/03/2016,1.415,1.415
30/03/2016,1.434,1.434
29/03/2016,1.411,1.411
28/03/2016,1.453,1.453
25/03/2016,1.453,1.453
24/03/2016,1.453,1.453
23/03/2016,1.449,1.449
22/03/2016,1.456,1.456
21/03/2016,1.477,1.477
18/03/2016,1.448,1.448
17/03/2016,1.455,1.455
16/03/2016,1.523,1.523
15/03/2016,1.537,1.537
14/03/2016,1.551,1.551
11/03/2016,1.575,1.575
10/03/2016,1.539,1.539
09/03/2016,1.47,1.47
08/03/2016,1.385,1.385
07/03/2016,1.48,1.48
04/03/2016,1.484,1.484
03/03/2016,1.431,1.431
02/03/2016,1.462,1.462
01/03/2016,1.397,1.397
29/02/2016,1.337,1.337
26/02/2016,1.399,1.399
25/02/2016,1.364,1.364
24/02/2016,1.361,1.361
23/02/2016,1.434,1.434
22/02/2016,1.394,1.394
19/02/2016,1.414,1.414
18/02/2016,1.445,1.445
17/02/2016,1.481,1.481
16/02/2016,1.44,1.44
15/02/2016,1.43,1.43
12/02/2016,1.414,1.414
11/02/2016,1.304,1.304
10/02/2016,1.413,1.413
09/02/2016,1.412,1.412
08/02/2016,1.412,1.412
05/02/2016,1.559,1.559
04/02/2016,1.566,1.566
03/02/2016,1.532,1.532
02/02/2016,1.542,1.542
01/02/2016,1.621,1.621
29/01/2016,1.56,1.56
28/01/2016,1.67,1.67
27/01/2016,1.71,1.71
26/01/2016,1.693,1.693
25/01/2016,1.687,1.687
22/01/2016,1.711,1.711
21/01/2016,1.67,1.67
20/01/2016,1.622,1.622
19/01/2016,1.699,1.699
18/01/2016,1.692,1.692
15/01/2016,1.662,1.662
14/01/2016,1.731,1.731
13/01/2016,1.741,1.741
12/01/2016,1.747,1.747
11/01/2016,1.777,1.777
08/01/2016,1.77,1.77
07/01/2016,1.803,1.803
06/01/2016,1.793,1.793
05/01/2016,1.874,1.874
04/01/2016,1.876,1.876
01/01/2016,1.96,1.96
31/12/2015,1.96,1.96
30/12/2015,1.988,1.988
29/12/2015,1.901,1.901
28/12/2015,1.92,1.92
25/12/2015,1.92,1.92
24/12/2015,1.92,1.92
23/12/2015,1.938,1.938
22/12/2015,1.875,1.875
21/12/2015,1.816,1.816
18/12/2015,1.831,1.831
17/12/2015,1.85,1.85
16/12/2015,1.946,1.946
15/12/2015,1.938,1.938
14/12/2015,1.84,1.84
11/12/2015,1.813,1.813
10/12/2015,1.866,1.866
09/12/2015,1.876,1.876
08/12/2015,1.822,1.822
07/12/2015,1.803,1.803
04/12/2015,1.921,1.921
03/12/2015,1.883,1.883
02/12/2015,1.753,1.753
01/12/2015,1.761,1.761
30/11/2015,1.825,1.825
