Security,GUKG2    Index                                                  ,
Start Date,30/12/1999 00:00,
End Date,02/08/2016 00:00,
Period,D,
,,
Date,PX_BID,PX_LAST
02/08/2016,0.193,0.193
01/08/2016,0.164,0.164
29/07/2016,0.11,0.11
28/07/2016,0.123,0.123
27/07/2016,0.134,0.134
26/07/2016,0.168,0.168
25/07/2016,0.137,0.137
22/07/2016,0.131,0.131
21/07/2016,0.165,0.165
20/07/2016,0.179,0.179
19/07/2016,0.171,0.171
18/07/2016,0.17,0.17
15/07/2016,0.166,0.166
14/07/2016,0.141,0.141
13/07/2016,0.116,0.116
12/07/2016,0.186,0.186
11/07/2016,0.155,0.155
08/07/2016,0.123,0.123
07/07/2016,0.142,0.142
06/07/2016,0.134,0.134
05/07/2016,0.118,0.118
04/07/2016,0.144,0.144
01/07/2016,0.16,0.16
30/06/2016,0.099,0.099
29/06/2016,0.204,0.204
28/06/2016,0.191,0.191
27/06/2016,0.151,0.151
24/06/2016,0.273,0.273
23/06/2016,0.523,0.523
22/06/2016,0.488,0.488
21/06/2016,0.501,0.501
20/06/2016,0.466,0.466
17/06/2016,0.388,0.388
16/06/2016,0.344,0.344
15/06/2016,0.336,0.336
14/06/2016,0.356,0.356
13/06/2016,0.378,0.378
10/06/2016,0.394,0.394
09/06/2016,0.381,0.381
08/06/2016,0.379,0.379
07/06/2016,0.362,0.362
06/06/2016,0.337,0.337
03/06/2016,0.338,0.338
02/06/2016,0.377,0.377
01/06/2016,0.406,0.406
31/05/2016,0.432,0.432
30/05/2016,0.459,0.459
27/05/2016,0.459,0.459
26/05/2016,0.444,0.444
25/05/2016,0.478,0.478
24/05/2016,0.481,0.481
23/05/2016,0.445,0.445
20/05/2016,0.441,0.441
19/05/2016,0.435,0.435
18/05/2016,0.425,0.425
17/05/2016,0.378,0.378
16/05/2016,0.381,0.381
13/05/2016,0.373,0.373
12/05/2016,0.386,0.386
11/05/2016,0.375,0.375
10/05/2016,0.381,0.381
09/05/2016,0.396,0.396
06/05/2016,0.406,0.406
05/05/2016,0.42,0.42
04/05/2016,0.459,0.459
03/05/2016,0.483,0.483
02/05/2016,0.528,0.528
29/04/2016,0.528,0.528
28/04/2016,0.536,0.536
27/04/2016,0.542,0.542
26/04/2016,0.552,0.552
25/04/2016,0.526,0.526
22/04/2016,0.504,0.504
21/04/2016,0.509,0.509
20/04/2016,0.464,0.464
19/04/2016,0.465,0.465
18/04/2016,0.466,0.466
15/04/2016,0.433,0.433
14/04/2016,0.447,0.447
13/04/2016,0.429,0.429
12/04/2016,0.438,0.438
11/04/2016,0.404,0.404
08/04/2016,0.384,0.384
07/04/2016,0.361,0.361
06/04/2016,0.383,0.383
05/04/2016,0.402,0.402
04/04/2016,0.431,0.431
01/04/2016,0.419,0.419
31/03/2016,0.441,0.441
30/03/2016,0.468,0.468
29/03/2016,0.458,0.458
28/03/2016,0.483,0.483
25/03/2016,0.483,0.483
24/03/2016,0.483,0.483
23/03/2016,0.459,0.459
22/03/2016,0.471,0.471
21/03/2016,0.491,0.491
18/03/2016,0.468,0.468
17/03/2016,0.475,0.475
16/03/2016,0.51,0.51
15/03/2016,0.528,0.528
14/03/2016,0.544,0.544
11/03/2016,0.557,0.557
10/03/2016,0.526,0.526
09/03/2016,0.464,0.464
08/03/2016,0.437,0.437
07/03/2016,0.47,0.47
04/03/2016,0.47,0.47
03/03/2016,0.436,0.436
02/03/2016,0.451,0.451
01/03/2016,0.423,0.423
29/02/2016,0.378,0.378
26/02/2016,0.33,0.33
25/02/2016,0.314,0.314
24/02/2016,0.331,0.331
23/02/2016,0.352,0.352
22/02/2016,0.34,0.34
19/02/2016,0.364,0.364
18/02/2016,0.37,0.37
17/02/2016,0.368,0.368
16/02/2016,0.363,0.363
15/02/2016,0.374,0.374
12/02/2016,0.378,0.378
11/02/2016,0.311,0.311
10/02/2016,0.344,0.344
09/02/2016,0.323,0.323
08/02/2016,0.318,0.318
05/02/2016,0.367,0.367
04/02/2016,0.36,0.36
03/02/2016,0.365,0.365
02/02/2016,0.378,0.378
01/02/2016,0.398,0.398
29/01/2016,0.337,0.337
28/01/2016,0.402,0.402
27/01/2016,0.425,0.425
26/01/2016,0.417,0.417
25/01/2016,0.414,0.414
22/01/2016,0.434,0.434
21/01/2016,0.428,0.428
20/01/2016,0.422,0.422
19/01/2016,0.46,0.46
18/01/2016,0.461,0.461
15/01/2016,0.438,0.438
14/01/2016,0.489,0.489
13/01/2016,0.493,0.493
12/01/2016,0.494,0.494
11/01/2016,0.519,0.519
08/01/2016,0.514,0.514
07/01/2016,0.525,0.525
06/01/2016,0.52,0.52
05/01/2016,0.568,0.568
04/01/2016,0.587,0.587
01/01/2016,0.651,0.651
31/12/2015,0.651,0.651
30/12/2015,0.674,0.674
29/12/2015,0.627,0.627
28/12/2015,0.621,0.621
25/12/2015,0.621,0.621
24/12/2015,0.621,0.621
23/12/2015,0.627,0.627
22/12/2015,0.613,0.613
21/12/2015,0.588,0.588
18/12/2015,0.591,0.591
17/12/2015,0.599,0.599
16/12/2015,0.632,0.632
15/12/2015,0.632,0.632
14/12/2015,0.598,0.598
11/12/2015,0.575,0.575
10/12/2015,0.609,0.609
09/12/2015,0.607,0.607
08/12/2015,0.59,0.59
07/12/2015,0.574,0.574
04/12/2015,0.643,0.643
03/12/2015,0.656,0.656
02/12/2015,0.571,0.571
01/12/2015,0.569,0.569
30/11/2015,0.604,0.604
